name,category ,desc
Future-proofed,tangible,"Other specified disorders of synovium, right ankle and foot"
leading edge,Pre-emptive,Toxic epidermal necrolysis [Lyell]
Pre-emptive,multimedia,"Fracture of unsp metatarsal bone(s), unsp foot, sequela"
leading edge,protocol,"Nondisp fx of body of hamate bone, unsp wrs, 7thD"
high-level,system-worthy,"Poisoning by hemostatic drug, undetermined, init encntr"
Multi-lateral,Optional,"Wedge comprsn fx unsp lum vertebra, subs for fx w delay heal"
projection,internet solution,Pnctr w/o foreign body of r mid finger w/o damage to nail
flexibility,24 hour,"Toxic effect of tobacco cigarettes, assault"
hierarchy,Multi-channelled,"Disp fx of dist pole of navic bone of r wrs, 7thD"
User-centric,Triple-buffered,Malignant neoplasm of connective and soft tissue of pelvis
functionalities,Customizable,Occup of hv veh injured in collision w pedal cycle in traf
Grass-roots,array,"Oth fx head/neck of l femr, 7thH"
foreground,intermediate,"Puncture wound w foreign body of unsp upper arm, subs encntr"
hybrid,optimal,Insect bite (nonvenomous) of abdominal wall
Operative,Operative,"Nondisp dome fracture of right acetabulum, init for opn fx"
Visionary,Organic,"Calcium deposit in bursa, unspecified wrist"
installation,intranet,"Corrosion of third degree of unspecified thigh, subs encntr"
customer loyalty,object-oriented,Unsp intracranial injury w LOC of 30 minutes or less
needs-based,homogeneous,"Unsp injury of musc/fasc/tend prt biceps, right arm"
cohesive,Customer-focused,Pnctr w fb of unsp front wall of thorax w penet thor cavity
Expanded,productivity,"Unsp lagophthalmos unspecified eye, unspecified eyelid"
Compatible,Stand-alone,"Displ transverse fx shaft of unsp rad, 7thM"
Cross-platform,multi-tasking,"Displacement of insulin pump, initial encounter"
software,matrices,"Unsp injury of muscle, fascia and tendon of unsp hip, init"
success,internet solution,"Laceration with foreign body, unspecified foot"
Synergized,well-modulated,Drug/chem diabetes mellitus w ketoacidosis w/o coma
application,real-time,"Activity, unspecified"
Universal,attitude,"Nondisp oblique fx shaft of unsp rad, 7thN"
user-facing,productivity,Unstable burst fracture of fifth lumbar vertebra
Function-based,initiative,Excessive interocclusal distance of fully erupted teeth
Public-key,zero tolerance,Non-prs chronic ulcer oth prt right foot w necros muscle
neural-net,object-oriented,"Unsp opn wnd unsp external genital organs, female, subs"
Stand-alone,Exclusive,"Breakdown of prosth dev/implnt/grft of genitl trct, subs"
emulation,functionalities,"Fall on board sailboat, subsequent encounter"
hybrid,Programmable,"Toxic effect of venom of other snake, intentional self-harm"
migration,frame,"Puncture wound w/o foreign body of unsp buttock, subs encntr"
capacity,productivity,Other deformities of toe(s) (acquired)
Realigned,protocol,"Displ midcervical fx l femr, 7thQ"
Multi-lateral,Synchronised,"Unspecified open wound of right elbow, sequela"
database,circuit,"Food in oth prt resp tract causing asphyxiation, sequela"
architecture,Advanced,"Lac w/o fb of unsp front wall of thrx w penet thor cav, subs"
explicit,Optimized,"Burn of first degree of right ankle, initial encounter"
maximized,Multi-channelled,"Nondisp spiral fracture of shaft of right tibia, sequela"
systemic,adapter,"Laceration of musc/fasc/tend right hip, sequela"
Fundamental,focus group,"Poisn by unsp prim systemic and hematolog agent, undet, init"
Ergonomic,circuit,"Other bursitis, not elsewhere classified, elbow"
responsive,intranet,"Toxic effect of venom of hornets, self-harm, init"
migration,Customizable,"Displacement of breast prosthesis and implant, subs encntr"
open architecture,encompassing,Acute sphenoidal sinusitis
national,fault-tolerant,"Nondisplaced intertrochanteric fracture of right femur, init"
analyzer,contextually-based,"Insect bite (nonvenomous) of right upper arm, sequela"
forecast,Sharable,Athscl nonbiol bypass of the left leg w ulcer oth prt foot
Synergistic,moratorium,Oth and unsp malignant neoplasm skin/ and unsp parts of face
24/7,internet solution,"Nondisp fx of ant wall of r acetab, subs for fx w delay heal"
modular,discrete,Burn of second degree of multiple sites of ankle and foot
national,Seamless,"Arthropathies in oth diseases classified elsewhere, elbow"
success,Synergistic,"Unsp fx low end l femr, 7thJ"
Profit-focused,Operative,"Chondromalacia, joints of unspecified hand"
bifurcated,dynamic,"Crush betw oth pwr wtrcrft & oth wtrcrft/obj d/t clsn, sqla"
Extended,interactive,"Fall from gliding-type pedestrian conveyance, init encntr"
core,mobile,"Oth fracture of right lesser toe(s), subs for fx w nonunion"
responsive,standardization,"Disp fx of base of 3rd MC bone, l hand, 7thP"
methodical,framework,"Other injury of ascending [right] colon, sequela"
Vision-oriented,open system,"Diverticular disease of intest, part unsp, w/o perf or abscs"
methodology,Fundamental,"Unsp fx head of l femr, 7thN"
throughput,Managed,"Disp fx of lateral condyle of unsp humer, 7thP"
system engine,Cloned,"Subluxation of T4/T5 thoracic vertebra, sequela"
parallelism,Cross-group,"Adverse effect of unsp antieplptc and sed-hypntc drugs, subs"
policy,groupware,"Nondisp fx of cuboid bone of r foot, subs for fx w nonunion"
Team-oriented,secondary,"Toxic eff of fluorine gas and hydrogen fluoride, undet, init"
matrix,workforce,"External constriction, left great toe, initial encounter"
access,Compatible,Basal cell carcinoma of skin of breast
User-friendly,capacity,"Periprosth fx around unsp internal prosth joint, sequela"
support,Customer-focused,"Nondisp fx of first metatarsal bone, unsp foot, init"
needs-based,homogeneous,"Nexdtve age-related mclr degn, right eye, stage unspecified"
Enhanced,content-based,"Superficial foreign body of unsp shoulder, init encntr"
Multi-tiered,Reduced,"Unilateral primary osteoarthritis, left hip"
actuating,complexity,"Child physical abuse, confirmed, sequela"
Graphic Interface,global,"Other specified bursopathies, unspecified knee"
Advanced,Implemented,Moderate laceration of body of pancreas
solution,Assimilated,Localized edema
Open-source,Decentralized,"Occup of pk-up/van injured in clsn w pedl cyc in traf, init"
Implemented,methodical,"Toxic effect of unsp organic solvent, accidental, init"
data-warehouse,alliance,Other disorders of brain
Graphic Interface,Digitized,"Newborn small for gestational age, 1250-1499 grams"
Configurable,maximized,"Burn 3rd deg mu sites of unsp lower limb, ex ank/ft, init"
user-facing,Quality-focused,"Nondisp commnt fx shaft of r tibia, init for opn fx type I/2"
service-desk,static,Disorders of refraction and accommodation
model,Pre-emptive,"Pulmonary blastomycosis, unspecified"
Public-key,instruction set,"Strain of musc/fasc/tend at thigh level, right thigh, init"
info-mediaries,Expanded,"Pnctr w/o fb of unsp toe(s) w damage to nail, sequela"
needs-based,budgetary management,Superficial foreign body of breast
budgetary management,Mandatory,"Choroidal degeneration, unspecified, unspecified eye"
Self-enabling,groupware,"Unspecified injury of popliteal vein, left leg, subs encntr"
Exclusive,impactful,"Burn of unsp deg mult sites of unsp wrist and hand, subs"
needs-based,neural-net,Frostbite with tissue necrosis of left ear
support,Face to face,"Adverse effect of unspecified anesthetic, subs encntr"
holistic,complexity,Pnctr w foreign body of pharynx and cervical esophagus
Automated,Triple-buffered,"Open bite of oral cavity, subsequent encounter"
focus group,non-volatile,"Drug-induced chronic gout, right ankle and foot, w/o tophus"
policy,maximized,"Non-Hodgkin lymphoma, unsp, nodes of head, face, and neck"
Object-based,didactic,"Insect bite (nonvenomous), right thigh, subsequent encounter"
stable,attitude-oriented,Complications of reattached (part of) left lower extremity
Ameliorated,bandwidth-monitored,Torsion of testis
Compatible,monitoring,"Underdosing of MAO inhib antidepressants, subs"
even-keeled,Versatile,Burn of first degree of ankle and foot
heuristic,Universal,"Unspecified sprain of right shoulder joint, sequela"
Visionary,groupware,"Disp fx of medial wall of left acetabulum, init for clos fx"
flexibility,Balanced,"Nondisp unsp condyle fx lower end of right femur, init"
non-volatile,Cloned,Skeletal fluorosis
toolset,Down-sized,"Intermittent monocular esotropia, right eye"
transitional,Robust,"Milt op involving explosion of aerial bomb, milt, sequela"
attitude-oriented,Enhanced,"Passenger of dune buggy injured in nontraffic accident, subs"
impactful,algorithm,"Unsp fracture of unsp forearm, subs for clos fx w routn heal"
time-frame,Total,"Poisoning by, adverse effect of and underdosing of enzymes"
next generation,benchmark,"Displaced comminuted fracture of shaft of humerus, unsp arm"
archive,Automated,"Mixed cellular Hodgkin lymph, extrnod and solid organ sites"
hardware,Multi-lateral,Occupant of streetcar injured in collisn/hit by roll stok
Open-architected,model,"Disloc of proximal interphaln joint of unsp finger, sequela"
Open-architected,extranet,Military operations involving explosion of marine mine
Visionary,systemic,"Pressr ulcer of contig site of back, buttock and hip, stg 3"
application,Future-proofed,"Major laceration of right internal jugular vein, init encntr"
policy,emulation,Other sprain of right elbow
policy,Multi-lateral,Occup of pk-up/van injured in nonclsn trnsp accident nontraf
systemic,forecast,"Inj oth muscles and tendons at ank/ft level, unsp foot, init"
policy,stable,"Fx unsp prt of nk of r femr, 7thR"
paradigm,Implemented,"External constriction of left ear, sequela"
budgetary management,Automated,Displaced lateral mass fracture of first cervical vertebra
even-keeled,pricing structure,"Laceration of superfic vn at shldr/up arm, right arm, subs"
policy,transitional,"Oth fracture of unsp acetabulum, init for clos fx"
reciprocal,User-centric,"Person outside hv veh inj in nonclsn trnsp acc nontraf, subs"
Reverse-engineered,system-worthy,"Prsn outsd pk-up/van inj in clsn w rail trn/veh in traf,init"
intermediate,dedicated,"Other abnormal auditory perceptions, bilateral"
model,Ameliorated,"Nondisp suprcndl fx w/o intrcndl extn low end l femr, 7thM"
Reactive,Visionary,"Adverse effect of unsp nonopi analgs/antipyr/antirheu, subs"
interface,productivity,"Laceration with foreign body of larynx, subsequent encounter"
Right-sized,website,"Ganglion, unspecified knee"
Integrated,background,"Burn of unspecified degree of unspecified foot, init encntr"
Operative,Right-sized,Salter-Harris Type II physeal fracture of phalanx of toe
zero tolerance,workforce,"Slipping, tripping and stumbling w/o falling, unsp, init"
Re-engineered,Seamless,Other air leak
knowledge user,methodology,"Partial traumatic amputation of left forearm, level unsp"
internet solution,project,Hyposplenism
Adaptive,Persistent,"Sprain of joints and ligaments of oth prt neck, init encntr"
Exclusive,User-friendly,"Nondisp oth fx tuberosity of unsp calcaneus, 7thG"
Optional,local area network,"Quad preg w two or more monoamnio fetuses, third trimester"
migration,middleware,"Sltr-haris Type II physl fx low end rad, unsp arm, 7thG"
value-added,background,"Disp fx of glenoid cav of scapula, unsp shldr, 7thP"
algorithm,open system,Unspecified dislocation of left index finger
Configurable,Reduced,Cerebral infarction due to thrombosis of precerb arteries
attitude,Profound,Displaced articular fracture of head of right femur
homogeneous,analyzing,Open bite of left ring finger without damage to nail
coherent,matrix,"Poisoning by, adverse effect of and underdosing of aspirin"
core,Realigned,Peroneal tendinitis
Versatile,superstructure,"Ped w convey inj pick-up truck, pk-up/van in traf, sequela"
User-friendly,Down-sized,Unsp place in oth non-institutional residence as place
alliance,Pre-emptive,"Strain extensor musc/fasc/tend r idx fngr at forarm lv, subs"
Versatile,encompassing,"Inj blood vessel of left little finger, subs encntr"
system engine,needs-based,"Chronic gout due to renal impairment, unsp knee, w/o tophus"
Customizable,matrices,"Episodic tension-type headache, not intractable"
Versatile,instruction set,Gastric contents in pharynx causing asphyxiation
Versatile,task-force,Milt op involving chemical weapons and oth unconvtl warfare
Optimized,moratorium,Central pterygium of right eye
approach,secured line,"Sprain of interphalangeal joint of unsp toe(s), init encntr"
Cross-platform,standardization,"Disp fx of l ulna styloid pro, subs for clos fx w nonunion"
Enterprise-wide,Universal,"Unspecified sprain of right foot, sequela"
Mandatory,conglomeration,"Blister (nonthermal) of unspecified hand, initial encounter"
Polarised,flexibility,"Paralytic calcifcn and ossification of muscle, right hand"
framework,actuating,"Gastric contents in larynx causing asphyxiation, sequela"
Decentralized,incremental,Other gastritis with bleeding
pricing structure,global,"Displ avuls fx (chip fracture) of r talus, 7thP"
Optimized,methodology,"Rheumatoid nodule, unspecified ankle and foot"
moratorium,even-keeled,"Blister (nonthermal) of right front wall of thorax, subs"
Innovative,function,"Traumatic arthropathy, left wrist"
optimal,bottom-line,"Traum rupt of collat ligmt of l idx fngr at MCP/IP jt, subs"
zero tolerance,attitude,Inhalant abuse with inhalant-induced dementia
5th generation,client-driven,"Drowning and submersion due to fall off water-skis, subs"
Seamless,eco-centric,Cloudy (hemodialysis) (peritoneal) dialysis effluent
executive,Future-proofed,"Person outside military vehicle injured in traf, sequela"
Robust,multimedia,"Burn of second degree of unspecified ankle, subs encntr"
Self-enabling,Optional,"Unsp inj great saphenous at lower leg level, right leg, init"
function,next generation,"Displacement of int fix of bones of foot and toes, sequela"
value-added,analyzer,"Peripheral corneal degeneration, unspecified eye"
User-centric,synergy,"Nondisp fx of lateral condyle of r tibia, 7thD"
application,workforce,"Unspecified dacryoadenitis, unspecified lacrimal gland"
throughput,flexibility,Nonpyogenic meningitis
Re-contextualized,asynchronous,Chronic neph syndrome w focal and seg glomerular lesions
4th generation,Ergonomic,Unsp school as the place of occurrence of the external cause
alliance,Implemented,"Nondisp fx of distal pole of navic bone of r wrist, sequela"
Compatible,Polarised,"Monteggia's fracture of unsp ulna, init for opn fx type I/2"
infrastructure,full-range,Cerebral infarction due to embolism of other cerebral artery
Configurable,impactful,"Unsp injury of radial artery at wrs/hnd lv of left arm, subs"
Business-focused,website,"Burn due to localized fire on board passenger vessel, init"
firmware,workforce,"Osteophyte, left wrist"
Universal,Face to face,Ectopic kidney
Balanced,Multi-tiered,"Fall on same level due to ice and snow, subsequent encounter"
bifurcated,Seamless,"Oth fx shaft of rad, unsp arm, 7thJ"
alliance,composite,"Poisoning by stimulant laxatives, undetermined, sequela"
Upgradable,User-centric,"Chr emblsm and thombos unsp deep veins of prox low extrm, bi"
grid-enabled,object-oriented,"Blister (nonthermal), left thigh"
throughput,upward-trending,"Strain extn musc/fasc/tend r idx fngr at wrs/hnd lv, sequela"
success,internet solution,"Oth fx upper end of unsp ulna, subs for clos fx w delay heal"
matrix,installation,Oth and unsp disord of breast assoc w preg and the puerp
multi-tasking,Networked,"Nondisplaced transverse fracture of shaft of left ulna, init"
productivity,Exclusive,Partial traumatic transphalangeal amputation of thumb
intangible,context-sensitive,"Inj cutan sensory nerve at ank/ft level, left leg, init"
Future-proofed,paradigm,"Disp fx of r ulna styloid pro, 7thQ"
analyzing,initiative,Frontal lobe and executive function deficit
leverage,directional,"Disp fx of epiphy (separation) (upper) of l femur, sequela"
application,definition,"Oth injury of unspecified tibial artery, left leg"
cohesive,protocol,"Corros unsp deg mult sites of shldr/up lmb, except wrs/hnd"
Polarised,Virtual,"Open bite, unspecified knee"
database,Multi-tiered,Congenital kyphosis
database,discrete,"Nondisp commnt fx shaft of unsp fibula, 7thB"
scalable,Expanded,"Pigmentary glaucoma, bilateral, severe stage"
alliance,Ergonomic,Congenital toxoplasmosis
Exclusive,ability,"Nondisp oblique fx shaft of r rad, 7thD"
function,Organized,"Minor laceration of unsp external jugular vein, subs encntr"
Reduced,Self-enabling,"Idiopathic chronic gout, unspecified elbow"
open architecture,zero defect,"Unsp fracture of r low leg, subs for clos fx w routn heal"
Stand-alone,Innovative,"Other forms of scoliosis, lumbar region"
Total,heuristic,Adverse effect of digestants
zero tolerance,Universal,"Unsp superficial injuries of breast, unsp breast, sequela"
Synergistic,product,"Major depressv disorder, recurrent, severe w psych symptoms"
Reverse-engineered,infrastructure,"Poisoning by antithyroid drugs, intentional self-harm, init"
methodical,directional,Contact with needle (sewing)
Enterprise-wide,clear-thinking,Malignant neoplasm of peripheral nerves of thorax
leverage,conglomeration,"Unsp fracture of unsp ischium, subs for fx w routn heal"
interface,Polarised,"Unsp open wound of unspecified part of thorax, subs encntr"
Centralized,optimal,"Toxic effect of fluorine gas and hydrogen fluoride, assault"
contextually-based,demand-driven,"Disp fx of post column of r acetab, subs for fx w delay heal"
grid-enabled,intranet,"Prsn brd/alit a car injured in clsn w nonmtr vehicle, subs"
Managed,actuating,"Burn of 3rd deg mu sites of unsp ankle and foot, sequela"
Graphical User Interface,foreground,Contus/lac/hem crblm w LOC of 30 minutes or less
Public-key,scalable,"Anaplastic large cell lymphoma, ALK-neg, intrathorac nodes"
non-volatile,access,"Other specified injuries of abdomen, initial encounter"
encompassing,policy,"Lateral dislocation of left patella, subsequent encounter"
Synergistic,multimedia,"Hit by falling object due to accident to canoe/kayk, sequela"
Future-proofed,project,"Fall from, out of or through building, not otherwise spcf"
frame,coherent,"Complete traumatic amp of two or more left lesser toes, init"
Stand-alone,Polarised,Avulsion fracture of ischium
bifurcated,executive,"Nondisplaced spiral fracture of shaft of left femur, sequela"
open architecture,initiative,"Unspecified sprain of unspecified elbow, sequela"
migration,full-range,"Unsp fracture of T9-T10 vertebra, init for clos fx"
capacity,Enhanced,"Exposure to melting of oth clothing and apparel, subs encntr"
dynamic,protocol,Other private fixed-wing aircraft fire injuring occupant
systemic,knowledge base,"Unsp subluxation of left ulnohumeral joint, subs encntr"
knowledge base,Customer-focused,"Fall from gliding-type pedestrian conveyance, init encntr"
intermediate,Stand-alone,Sequelae of leprosy
value-added,local,Acute apical periodontitis of pulpal origin
solution,workforce,"Corrosion of third degree of buttock, subsequent encounter"
task-force,circuit,"Nondisp intertroch fx unsp femr, 7thM"
Switchable,Organic,"Strain of unsp musc/fasc/tend at wrs/hnd lv, unsp hand, init"
Universal,moratorium,External constriction of left hand
Balanced,Business-focused,"Corros 1st deg mult site of r shldr/up lmb, ex wrs/hnd, init"
matrix,core,"Toxic effect of manganese and its compounds, undet, sequela"
Synergistic,methodical,"Unsp traum nondisp spondylolysis of 5th cervcal vert, 7thK"
framework,Multi-channelled,"Displ bicondylar fx unsp tibia, subs for clos fx w nonunion"
software,software,"Nondisp spiral fx shaft of ulna, l arm, 7thJ"
human-resource,Synergized,"Displ pilon fx unsp tibia, 7thM"
Integrated,process improvement,"Nondisp fx of med condyle of unsp tibia, 7thB"
context-sensitive,Re-contextualized,"Other foreign object in larynx causing other injury, sequela"
multi-state,orchestration,"Oth osteoporosis w current pathological fracture, ank/ft"
intermediate,Customizable,"Fracture of unsp phalanx of right little finger, sequela"
optimal,Multi-channelled,"Malignant neoplasm of lower respiratory tract, part unsp"
secured line,asymmetric,"Burn of third degree of left upper arm, initial encounter"
internet solution,Robust,"Laceration of unsp tibial artery, right leg, init encntr"
high-level,Implemented,"Pingueculitis, unspecified eye"
hardware,portal,"Disp fx of olecran pro w/o intartic extn unsp ulna, sequela"
ability,synergy,"Inj extn musc/fasc/tend l little finger at forarm lv, init"
customer loyalty,matrices,"Poisoning by unsp antieplptc and sed-hypntc drugs, undet"
eco-centric,Synchronised,"Pathological fracture in other disease, ankle and foot"
Streamlined,Realigned,"Incomplete atypical femoral fracture, right leg, 7thK"
Centralized,Monitored,"Prsn brd/alit pk-up/van injured in nonclsn trnsp acc, subs"
methodical,firmware,"Sedatv/hyp/anxiolytc use, unsp w w/drawal w perceptl disturb"
directional,Customizable,Malignant neoplasm of other and unsp male genital organs
synergy,archive,"Disp fx of fifth metatarsal bone, left foot, init"
architecture,composite,"Superficial frostbite of left finger(s), initial encounter"
exuding,maximized,"Contus/lac r cereb w LOC w dth d/t brain inj bf consc, init"
concept,zero tolerance,"Accidental kick by another person, initial encounter"
Enterprise-wide,structure,"Nondisp transverse fx shaft of r rad, 7thD"
composite,pricing structure,"Corros 3rd deg mu sites of shldr/up lmb, except wrs/hnd"
workforce,Vision-oriented,Osteoarthritis of first carpometacarpal joint
toolset,implementation,Dissection of unspecified artery
Profit-focused,multimedia,"Other physeal fracture of upper end of left fibula, sequela"
implementation,monitoring,"Poisoning by, adverse effect of and underdosing of laxatives"
directional,radical,"Unsp dislocation of unsp ulnohumeral joint, init encntr"
24/7,solution-oriented,"Oth superfic bite of unsp extrn genital organs, female, init"
regional,moderator,Prosth/oth implnt/mtrls ob/gyn devices assoc w incdt
bifurcated,Organized,Fall from scooter (nonmotorized)
access,Multi-tiered,"Lead-induced chronic gout, left hand, without tophus (tophi)"
portal,matrices,Nondisplaced Zone II fracture of sacrum
Open-architected,Synergistic,"Preterm labor third tri w preterm del third tri, fetus 3"
Automated,dynamic,"Unspecified injury of left renal artery, sequela"
infrastructure,leading edge,"Car pasngr injured in clsn w rail trn/veh nontraf, sequela"
Total,function,"Recurrent subluxation of patella, unspecified knee"
neutral,exuding,"Obturator subluxation of unspecified hip, initial encounter"
Optional,fault-tolerant,Accidental malfunction from other and unsp firearms and guns
high-level,Triple-buffered,"Exposure to flames in uncontrolled fire, not in bldg, init"
Extended,hierarchy,"Oth intartic fx lower end left rad, init for opn fx type I/2"
customer loyalty,Centralized,"Path fx in oth disease, r fibula, subs for fx w delay heal"
object-oriented,success,Garden or yard of mobile home as place
customer loyalty,process improvement,Newborn affected by chorioamnionitis
Synchronised,Seamless,"Fall from babystroller, subsequent encounter"
contextually-based,radical,"Underdosing of antipruritics, sequela"
high-level,local,"Diffuse TBI w loss of consciousness of 1-5 hrs 59 min, subs"
Open-architected,archive,Unspecified open wound of penis
Re-engineered,leverage,"Other juvenile arthritis, left knee"
contingency,User-friendly,"Sltr-haris Type I physeal fracture of right metatarsal, 7thB"
Progressive,demand-driven,"Path fracture in neoplastic disease, right tibia, sequela"
User-centric,policy,"Greenstick fx shaft of rad, r arm, subs for fx w routn heal"
access,User-centric,"Hematoma of pinna, right ear"
database,real-time,Other superficial bite of shoulder
Open-source,instruction set,"Other specified injury of femoral artery, unspecified leg"
instruction set,foreground,"Assault by unspecified larger firearm discharge, init encntr"
Optimized,Balanced,"Behavioral insomnia of childhood, limit setting type"
contextually-based,Assimilated,"Chronic gout due to renal impairment, knee"
interactive,open architecture,"Driver of special construct vehicle injured nontraf, sequela"
Profound,portal,Wegener's granulomatosis
tangible,hierarchy,"Crushing inj unsp part(s) of unsp wrist, hand and fingers"
Implemented,bi-directional,"Female pseudohermaphroditism, not elsewhere classified"
Sharable,Virtual,"Laceration without foreign body of nose, initial encounter"
intangible,Switchable,Dining room in mobile home as place
regional,success,"Person outsd pk-up/van inj in clsn w ped/anml in traf, subs"
global,neutral,"Disp fx of lateral malleolus of l fibula, 7thN"
Robust,archive,"Bent bone of right ulna, init encntr for closed fracture"
Stand-alone,Switchable,"Minimally displaced Zone III fx sacrum, init for opn fx"
secondary,secured line,"Pnctr w/o fb of l idx fngr w/o damage to nail, sequela"
service-desk,stable,"Corrosion of third degree of unspecified forearm, sequela"
secured line,global,"Vertigo from infrasound, sequela"
intangible,Intuitive,Obst due to fb acc left in body fol injection or immuniz
transitional,Team-oriented,"Conjunctival pigmentations, bilateral"
artificial intelligence,intermediate,Lacerat extensor musc/fasc/tend r little finger at forarm lv
full-range,superstructure,"Poisn by unsp agents prim act on the resp sys, slf-hrm, sqla"
encoding,composite,"Adverse effect of expectorants, initial encounter"
architecture,productivity,"Drown due to being washed overboard from fishing boat, subs"
Profound,discrete,"Disp fx of anterior process of unsp calcaneus, sequela"
context-sensitive,Vision-oriented,"Toxic liver disease with hepatitis, not elsewhere classified"
Switchable,Innovative,Encounter for screening for oth suspected endocrine disorder
Automated,contingency,"Otosclerosis w oval window, nonobliterative, right ear"
Public-key,alliance,"Nondisp assoc transv/post fx r acetab, 7thD"
Cloned,Open-architected,"Osteonecrosis due to previous trauma, pelvis and femur"
emulation,concept,"Other superficial bite of scrotum and testes, sequela"
foreground,Innovative,"Villonodular synovitis (pigmented), left ankle and foot"
upward-trending,internet solution,"Unsp injury of superficial palmar arch of left hand, init"
capacity,De-engineered,Occ of anml-drn vehicle injured in clsn w statnry object
concept,grid-enabled,"Exposure to welding light (arc), sequela"
monitoring,Quality-focused,"Toxic effect of other mycotoxin food contaminants, assault"
Fundamental,Seamless,Oth injury of greater saphenous vein at lower leg level
bifurcated,hub,Labyrinthine dysfunction
capacity,policy,Unspecified nondisp fx of surgical neck of right humerus
strategy,ability,"Primary open-angle glaucoma, left eye"
open architecture,interface,"Toxic effect of unspecified pesticide, assault"
knowledge base,neutral,Bursitis of hand
User-centric,paradigm,Struck by falling object on sailboat
Pre-emptive,3rd generation,Double pterygium of left eye
time-frame,bifurcated,"Milt op w chem weapons and oth unconvtl warfare, milt, subs"
matrix,support,"Term delivery with preterm labor, third trimester"
homogeneous,flexibility,"Unsp injury of superficial palmar arch of unsp hand, sequela"
Expanded,Synergized,Moderate persistent asthma with (acute) exacerbation
Multi-layered,solution,Varicose veins of r low extrem w ulc and inflammation
Polarised,circuit,"Milt op involving biological weapons, military personnel"
3rd generation,budgetary management,Mucolipidosis IV
multi-tasking,24 hour,"Injury of ulnar nerve at wrs/hnd lv of right arm, init"
logistical,portal,"Bitten by other hoof stock, sequela"
utilisation,model,Stevens-Johnson syndrome
Mandatory,empowering,Phlebitis and thombophlb of deep vessels of r low extrem
upward-trending,Intuitive,"Traumatic rupture of cervical intervertebral disc, sequela"
upward-trending,methodology,"Injury of femoral nrv at hip and thigh level, unsp leg, init"
Optional,superstructure,"Spontaneous rupture of other tendons, other"
Ameliorated,mission-critical,"Pedl cyc driver injured in collision w hv veh nontraf, init"
Seamless,model,"Nondisp transverse fx r patella, init for opn fx type I/2"
Managed,Ergonomic,Congenital absence of right hand and finger
utilisation,composite,"Abn radlgc find on dx imaging of renal pelv,ureter,or blddr"
Multi-lateral,Multi-tiered,"Hyperparathyroidism, unspecified"
mobile,budgetary management,"Anaphylactic reaction due to other fish, initial encounter"
6th generation,object-oriented,"Traumatic rupture of right radial collat ligament, sequela"
standardization,Secured,"Other contact with other mammals, subsequent encounter"
client-driven,collaboration,Hypersecretion of calcitonin
Open-source,Managed,"Fistula, right hand"
framework,Monitored,"Type III traum spondylolysis of sixth cervcal vert, 7thK"
Centralized,intangible,Counseling for family member of drug abuser
attitude-oriented,Re-engineered,"Unsp fx low end unsp femr, 7thF"
User-friendly,Innovative,"Unsp traum nondisp spondylolysis of 7th cervcal vert, 7thK"
toolset,3rd generation,"Other benign neoplasm of skin of eyelid, including canthus"
model,grid-enabled,"Preterm labor w preterm delivery, unsp trimester, oth fetus"
monitoring,Triple-buffered,"Nondisp fx of shaft of unsp clavicle, subs for fx w malunion"
human-resource,bi-directional,"Poisoning by MAO inhib antidepressants, accidental, sequela"
value-added,analyzer,"Other specified disorders of synovium and tendon, hand"
Graphical User Interface,local,Symptomatic hemophilia A carrier
bandwidth-monitored,implementation,"Corros first deg of shldr/up lmb, ex wrs/hnd unsp site, subs"
explicit,focus group,"Other superficial bite of unspecified knee, sequela"
Synergized,background,"Poisoning by iron and its compounds, accidental, sequela"
system engine,Compatible,"Insect bite (nonvenomous), left hip, sequela"
non-volatile,migration,"Exudative age-rel mclr degn, right eye, stage unspecified"
workforce,24/7,"Injury of peritoneum, subsequent encounter"
Expanded,6th generation,"Food in esophagus causing other injury, initial encounter"
Balanced,optimal,Disp fx (avulsion) of lateral epicondyle of unsp humerus
moderator,Future-proofed,"Displaced transverse fracture of right patella, sequela"
toolset,homogeneous,"Allergy status, oth than to drugs and biological substances"
Virtual,open architecture,"Nondisp fx of coronoid pro of r ulna, 7thC"
ability,contingency,Corrosion of cornea and conjunctival sac
Switchable,Right-sized,"Strain extn/abdr musc/fasc/tend of r thm at forarm lv, init"
Operative,3rd generation,"Stress fracture, left ankle, initial encounter for fracture"
Graphical User Interface,multi-state,Mtrcy driver injured in collision w nonmtr vehicle nontraf
installation,24 hour,Sltr-haris Type II physeal fracture of upper end of r fibula
frame,policy,"Disp fx of lateral end of left clavicle, init for clos fx"
coherent,discrete,"Adverse effect of antacids and anti-gstrc-sec drugs, init"
Seamless,multi-tasking,"Nondisp fx of base of MC bone, subs for fx w malunion"
process improvement,Fully-configurable,"Unspecified subluxation of right radial head, init encntr"
Extended,workforce,Other specified cardiac arrhythmias
Pre-emptive,firmware,"Fracture of alveolus of left mandible, 7thD"
Organized,Grass-roots,"Unspecified disorder of vestibular function, unspecified ear"
Pre-emptive,artificial intelligence,"Nondisp transcondy fx l humerus, subs for fx w routn heal"
Devolved,contingency,"Corrosion of first degree of right axilla, sequela"
value-added,needs-based,"Other specified dorsopathies, lumbar region"
Extended,secondary,"Unsp physeal fracture of upper end of left tibia, init"
Cross-group,artificial intelligence,"Passenger in hv veh injured pick-up truck, pk-up/van nontraf"
